-nan		0
-nan		0
-nan		0
-nan		0
-nan		0
1576.53		18757
-nan		0
-nan		0
-nan		0
-nan		0
903.509		25621
962.879		77047
1001.48		40682
-nan		0
-nan		0
309.343		15327
-nan		0
-nan		0
-nan		0
-nan		0
2642.86		9240
-nan		0
-nan		0
-nan		0
-nan		0
2625		9183
-nan		0
-nan		0
-nan		0
-nan		0
3475		8671
-nan		0
1102.04		13216
787.415		55842
-nan		0
2275		11384
-nan		0
712.034		60900
1375		703
750		100247
216.622		158485
633.585		92451
660.339		99445
874.735		100482
928.125		54373
1547.06		33055
-nan		0
-nan		0
-nan		0
-nan		0
2500		8126
-nan		0
-nan		0
-nan		0
-nan		0
3153.85		10167
-nan		0
-nan		0
1188.1		30162
1233.64		32162
345.9		90559
1272.28		140143
