,Type,Workload,Avg,Overhead
55,SSD-FUSE-EXT4-Results,Stat-files-rd-re-32KB-32th-1f-1,18942.333333333332,-0.009132982561106617
56,SSD-FUSE-EXT4-Results,Stat-files-rd-re-4KB-32th-1f-1,77980.5,0.007072280890735527
57,SSD-FUSE-EXT4-Results,Stat-files-rd-re-128KB-1th-1f-1,2207.3333333333335,0.028994261552401035
58,SSD-FUSE-EXT4-Results,Stat-files-sq-re-32KB-1th-1f-1,16192.666666666666,0.0006999053069289829
59,SSD-FUSE-EXT4-Results,Stat-files-preall-re-4KB-1th-1Mf-1,4610.166666666667,-0.2586674379089693
60,SSD-FUSE-EXT4-Results,Stat-files-sq-wr-128KB-32th-32f-1,143.171875,0.033031394375932166
61,SSD-FUSE-EXT4-Results,Stat-files-sq-wr-32KB-1th-1f-1,17740.666666666668,0.03801059712149124
62,SSD-FUSE-EXT4-Results,Stat-files-rd-wr-128KB-1th-1f-1,4593.666666666667,-0.05507582903998265
63,SSD-FUSE-EXT4-Results,Stat-files-rd-re-1024KB-32th-1f-1,644.6666666666666,-0.0015511892450879028
64,SSD-FUSE-EXT4-Results,Stat-files-rd-wr-1024KB-32th-1f-1,264.0,-1.2866161616161613
65,SSD-FUSE-EXT4-Results,Stat-files-rd-wr-4KB-32th-1f-1,78611.83333333333,-0.0013589981152117847
66,SSD-FUSE-EXT4-Results,Stat-files-rd-re-32KB-1th-1f-1,3369.5,0.03502003264579312
67,SSD-FUSE-EXT4-Results,Stat-files-sq-re-1024KB-1th-1f-1,528.3333333333334,0.0012618296529970374
68,SSD-FUSE-EXT4-Results,Stat-files-sq-re-4KB-32th-32f-1,3716.9479166666665,-0.006288761780919083
69,SSD-FUSE-EXT4-Results,Stat-files-sq-re-32KB-32th-32f-1,472.9322916666667,-0.02390890168827009
70,SSD-FUSE-EXT4-Results,Stat-files-sq-re-128KB-32th-32f-1,118.140625,-0.016135431821187707
71,SSD-FUSE-EXT4-Results,Stat-files-preall-re-4KB-32th-1Mf-1,55280.5,-0.18990421577228855
72,SSD-FUSE-EXT4-Results,Stat-files-rd-re-1024KB-1th-1f-1,396.1666666666667,0.016827934371056008
73,SSD-FUSE-EXT4-Results,Stat-files-sq-wr-128KB-1th-1f-1,4434.333333333333,0.0006013681124557024
74,SSD-FUSE-EXT4-Results,Stat-files-preall-de-4KB-32th-4Mf-1,17402.166666666668,-0.14926302280367376
75,SSD-FUSE-EXT4-Results,Stat-files-cr-wr-4KB-32th-4Mf-1,39475.833333333336,-0.1699056384707942
76,SSD-FUSE-OPTS-EXT4-Results,Stat-files-rd-wr-128KB-32th-1f-1,2101.1666666666665,-1.3055445387483147
77,SSD-FUSE-OPTS-EXT4-Results,Stat-files-sq-wr-4KB-1th-1f-1,127371.33333333333,-0.08089601532526935
78,SSD-FUSE-OPTS-EXT4-Results,Stat-files-sq-wr-1024KB-1th-1f-1,551.6666666666666,-0.012990936555891341
79,SSD-FUSE-OPTS-EXT4-Results,Stat-files-rd-re-128KB-32th-1f-1,6075.5,0.005404219131484367
80,SSD-FUSE-OPTS-EXT4-Results,Stat-files-cr-wr-4KB-1th-4Mf-1,22517.333333333332,-0.13789377072477493
81,SSD-FUSE-OPTS-EXT4-Results,Stat-files-rd-wr-1024KB-1th-1f-1,576.3333333333334,-0.053209947946790015
82,SSD-FUSE-OPTS-EXT4-Results,Stat-files-rd-re-4KB-1th-1f-1,6537.833333333333,-0.10745150024218009
83,SSD-FUSE-OPTS-EXT4-Results,Stat-files-sq-re-1024KB-32th-32f-1,15.25,-0.0030737704918033515
84,SSD-FUSE-OPTS-EXT4-Results,Stat-files-rd-wr-4KB-1th-1f-1,77104.16666666667,-0.006035125641718375
85,SSD-FUSE-OPTS-EXT4-Results,Stat-files-preall-de-4KB-1th-4Mf-1,18674.666666666668,-0.14940918177923734
86,SSD-FUSE-OPTS-EXT4-Results,Stat-files-sq-re-128KB-1th-1f-1,4050.8333333333335,-0.009339642048961094
87,SSD-FUSE-OPTS-EXT4-Results,Stat-files-rd-wr-32KB-32th-1f-1,11370.833333333334,-0.6427849028948331
88,SSD-FUSE-OPTS-EXT4-Results,Stat-files-sq-wr-32KB-32th-32f-1,573.0677083333334,-2.7265539085163937e-05
89,SSD-FUSE-OPTS-EXT4-Results,Stat-files-sq-re-4KB-1th-1f-1,129596.33333333333,0.0002816437707856556
90,SSD-FUSE-OPTS-EXT4-Results,Stat-files-sq-wr-4KB-32th-32f-1,4580.197916666667,0.0406778273318793
91,SSD-FUSE-OPTS-EXT4-Results,Stat-files-rd-wr-32KB-1th-1f-1,18473.5,0.0007849081116193535
92,SSD-FUSE-OPTS-EXT4-Results,Stat-files-sq-wr-1024KB-32th-32f-1,17.880208333333332,0.0014564520827263783
93,SSD-FUSE-OPTS-EXT4-Results,Stat-files-rd-re-32KB-32th-1f-1,19065.833333333332,-0.002596267319375789
94,SSD-FUSE-OPTS-EXT4-Results,Stat-files-rd-re-4KB-32th-1f-1,78737.16666666667,0.016614347734974833
95,SSD-FUSE-OPTS-EXT4-Results,Stat-files-rd-re-128KB-1th-1f-1,2041.0,-0.050138820839457754
96,SSD-FUSE-OPTS-EXT4-Results,Stat-files-sq-re-32KB-1th-1f-1,16186.5,0.0003191960378504666
97,SSD-FUSE-OPTS-EXT4-Results,Stat-files-preall-re-4KB-1th-1Mf-1,4617.666666666667,-0.256623114126904
98,SSD-FUSE-OPTS-EXT4-Results,Stat-files-sq-wr-128KB-32th-32f-1,143.28645833333334,0.03380465995420012
99,SSD-FUSE-OPTS-EXT4-Results,Stat-files-sq-wr-32KB-1th-1f-1,17761.166666666668,0.03912092861767724
100,SSD-FUSE-OPTS-EXT4-Results,Stat-files-rd-wr-128KB-1th-1f-1,4616.166666666667,-0.049933205762356936
101,SSD-FUSE-OPTS-EXT4-Results,Stat-files-rd-re-1024KB-32th-1f-1,650.5,0.007430181911350253
102,SSD-FUSE-OPTS-EXT4-Results,Stat-files-rd-wr-1024KB-32th-1f-1,256.5,-1.3534762833008447
103,SSD-FUSE-OPTS-EXT4-Results,Stat-files-rd-wr-4KB-32th-1f-1,77188.33333333333,-0.01982596679118176
104,SSD-FUSE-OPTS-EXT4-Results,Stat-files-rd-re-32KB-1th-1f-1,3761.0,0.13546929008242492
105,SSD-FUSE-OPTS-EXT4-Results,Stat-files-sq-re-1024KB-1th-1f-1,528.3333333333334,0.0012618296529970374
106,SSD-FUSE-OPTS-EXT4-Results,Stat-files-sq-re-4KB-32th-32f-1,3744.453125,0.0011030204399563592
107,SSD-FUSE-OPTS-EXT4-Results,Stat-files-sq-re-32KB-32th-32f-1,479.9375,-0.008963840777878929
108,SSD-FUSE-OPTS-EXT4-Results,Stat-files-sq-re-128KB-32th-32f-1,119.64583333333333,-0.003351906668988436
109,SSD-FUSE-OPTS-EXT4-Results,Stat-files-preall-re-4KB-32th-1Mf-1,55401.0,-0.1873161134275554
110,SSD-FUSE-OPTS-EXT4-Results,Stat-files-rd-re-1024KB-1th-1f-1,400.5,0.027465667915106073
111,SSD-FUSE-OPTS-EXT4-Results,Stat-files-sq-wr-128KB-1th-1f-1,4442.666666666667,0.002475990396158423
112,SSD-FUSE-OPTS-EXT4-Results,Stat-files-preall-de-4KB-32th-4Mf-1,16650.0,-0.20118118118118122
113,SSD-FUSE-OPTS-EXT4-Results,Stat-files-cr-wr-4KB-32th-4Mf-1,34918.5,-0.3225940404083796
