20.1242	5.71429	0	14.4099
22.6533	7.7597	0	14.8936
22.1662	8.06045	0	14.1058
22.4311	9.14787	0	13.2832
22.9814	7.70186	0	15.1553
23.0386	8.59278	0	14.4458
22.2778	8.38548	0	13.7672
22.5282	8.01001	0	14.5181
22.9713	8.36454	0	14.6067
23.3881	8.47029	0	14.9178
15.9204	4.72637	0	11.194
18.5606	5.05051	0	13.5101
22.9713	7.86517	0	15.1061
23.4201	8.30235	0	15.1177
22.875	7.75	0	15.125
24.4025	8.30189	0	15.8491
16.9154	5.34826	0	11.5672
11.5144	2.8786	0	8.63579
17.5	2.5	0	15
8.66079	1.60385	0	7.05694
16.0234	3.15789	0	12.8655
