-nan		0
-nan		0
-nan		0
-nan		0
-nan		0
1573.86		34228
1142.86		11251
-nan		0
-nan		0
-nan		0
2483.87		19296
968.567		80240
658.407		88698
752.066		85060
-nan		0
1739.44		31059
-nan		0
-nan		0
-nan		0
-nan		0
287.5		60950
751.462		92367
406.25		9088
743.902		51410
721.688		81755
52.0299		112575
757.895		89273
335.621		125560
538.489		93919
666.517		93129
439.233		66124
-nan		0
-nan		0
-nan		0
-nan		0
775.304		48121
909.722		47744
560.585		48768
665.129		43340
690.217		37918
705.321		86683
753.061		88776
478.591		124302
495.671		84252
699.558		88990
56.3526		160307
4.64037		0
-nan		0
-nan		0
-nan		0
2500		18175
716.406		54482
723.975		55323
606.151		36281
705.72		48073
767.57		91070
682.343		49660
684.318		81269
615.833		89099
692.737		89914
46.8025		98212
1700.33		119422
