-nan		0
-nan		0
-nan		0
-nan		0
-nan		0
3052.88		39841
-nan		0
-nan		0
-nan		0
2858.33		64739
-nan		0
-nan		0
-nan		0
-nan		0
2675.53		63312
-nan		0
5916.67		4500
209.67		60324
364.216		59
-nan		0
-nan		0
468.228		23623
451.639		34286
-nan		0
172.156		64741
174.498		8
334.254		31747
205.578		15303
inf		411
1992.25		64328
-nan		0
-nan		0
-nan		0
2690.1		64739
-nan		0
-nan		0
253.277		64766
263.043		96
-nan		0
-nan		0
258.443		64773
289.441		45
-nan		0
-nan		0
240.071		64779
256.345		71
-nan		0
-nan		0
2217.67		64739
302.904		118
-nan		0
-nan		0
-nan		0
407.987		64757
286.353		13919
-nan		0
-nan		0
308.12		64758
193.997		4
-nan		0
361.247		28764
-nan		0
