0.24	0.1
0.1	0.94
0.08	1.07
0.11	0.97
0.1	0.98
0.14	0.98
0.11	1.02
0.14	0.96
0.1	1.1
0.11	1.06
0.12	1.02
0.1	0.96
0.07	1.11
0.1	1.08
0.12	1.06
0.09	0.94
0.08	1.1
0.15	1.07
0.13	1.04
0.1	1
0.1	1.09
0.08	1.06
0.07	1.01
0.08	1.02
0.12	1.12
0.08	1.08
0.11	0.89
0.09	0.81
0.08	0.82
0.08	0.85
0.07	0.95
0.12	0.99
0.08	1.04
0.09	1.01
0.1	0.84
0.09	0.78
0.09	0.73
0.07	0.87
0.07	0.84
0.08	1.02
0.08	1.31
0.09	1.27
0.13	1.24
0.11	1.27
0.11	1.02
0.07	0.97
0.08	0.94
0.09	0.97
0.08	0.96
0.09	0.98
0.08	1.26
0.11	1.26
0.08	1.19
0.08	1.18
0.08	1.03
0.09	1
0.05	0.87
0.09	1.04
0.09	1.02
0.1	1.16
0.1	1.19
0.09	1.26
