-nan		0
-nan		0
-nan		0
-nan		0
-nan		0
2583.33		1781
-nan		0
-nan		0
-nan		0
-nan		0
217.593		2895
-nan		0
-nan		0
-nan		0
-nan		0
356.383		4123
-nan		0
-nan		0
-nan		0
-nan		0
81.8708		9661
43.1553		358
30.0677		125
-nan		0
-nan		0
1757.04		62772
-nan		0
1992.25		64697
-nan		0
146.212		64764
279.068		53
-nan		0
-nan		0
-nan		0
1556.72		46585
118.437		17457
120.902		11060
391.65		64700
265.445		7
2023.62		64698
290.157		6
302.341		23969
182.477		18151
2285.4		64712
1675		4250
3390.85		60439
2718.75		5731
245.73		59086
169.84		22
-nan		0
503.422		64707
227.264		93
-nan		0
225.628		64743
249.087		75
1107.14		2250
259.364		62507
286.583		32
1451.98		64712
229.647		93
inf		0
-nan		0
