0.29	0.54
0.33	8.25
0.17	1.74
0.3	1.34
0.25	0.81
0.2	0.82
0.21	0.85
0.23	0.69
0.2	0.73
0.17	0.77
0.16	0.68
0.23	0.75
0.2	0.69
0.17	0.73
0.18	0.72
0.22	0.74
0.21	0.74
0.18	0.74
0.17	0.72
0.16	0.8
0.16	0.69
0.16	0.71
0.19	0.68
0.15	0.7
0.22	0.73
0.15	0.71
0.23	0.63
0.21	0.71
0.18	0.68
0.15	0.74
0.17	0.65
0.22	0.77
0.22	0.65
0.18	0.63
0.23	0.74
0.18	0.66
0.18	0.72
0.21	0.74
0.21	0.63
0.2	0.77
0.15	0.71
0.26	0.7
0.18	0.69
0.18	0.71
0.15	0.7
0.22	0.68
0.2	0.7
0.16	0.69
0.2	0.68
0.18	0.66
0.21	0.67
0.16	0.76
0.17	0.71
0.21	0.74
0.15	0.72
0.2	0.74
0.16	0.74
0.22	0.72
0.21	0.64
0.18	0.8
0.16	0.71
0.18	0.86
0.22	0.93
