0.12	1.05
0.09	1.23
0.12	1.47
0.11	1.25
0.09	1.3
0.11	1.42
0.08	1.3
0.06	1.35
0.14	0.97
0.08	1.3
0.09	1.34
0.09	0.81
0.09	0.9
0.07	0.89
0.14	1.17
0.09	0.96
0.09	0.84
0.1	0.99
0.1	0.96
0.1	0.82
0.1	1.05
0.12	0.85
0.05	0.98
0.09	0.87
0.1	0.88
0.14	1.06
0.1	1.08
0.09	1.16
0.08	0.89
0.12	0.87
0.09	0.95
0.12	0.78
0.09	0.71
0.09	0.85
0.09	0.88
0.09	1.11
0.1	0.91
0.09	0.88
0.12	1.01
0.09	0.84
0.07	0.85
0.09	1.26
0.08	0.84
0.1	0.91
0.09	0.78
0.12	1.15
0.08	0.74
0.09	0.84
0.08	0.84
0.09	0.86
0.09	0.92
0.08	0.79
0.09	0.76
0.09	0.78
0.1	0.86
0.1	0.92
0.09	0.93
0.09	0.9
0.06	0.88
0.09	0.77
0.05	0.99
