0.32	0.42
0.12	2.06
0.12	1.94
0.12	2.1
0.11	2.02
0.07	1.91
0.09	1.44
0.1	1.11
0.15	0.71
0.1	0.7
0.11	0.72
0.1	0.91
0.09	0.76
0.11	0.82
0.1	0.69
0.12	0.91
0.11	0.79
0.11	0.78
0.09	0.75
0.1	0.83
0.09	0.77
0.12	0.82
0.09	0.74
0.11	0.76
0.1	0.78
0.14	0.79
0.09	0.84
0.09	0.77
0.09	0.77
0.14	0.71
0.13	0.71
0.08	0.76
0.13	0.76
0.1	0.78
0.08	0.81
0.09	0.76
0.1	0.8
0.11	0.74
0.12	0.7
0.1	0.79
0.09	0.79
0.11	0.94
0.1	0.66
0.07	0.74
0.13	0.74
0.12	0.8
0.14	0.8
0.08	0.72
0.11	0.75
0.1	0.75
0.09	0.79
0.09	0.75
0.12	0.76
0.1	0.92
0.09	0.82
0.14	0.73
0.08	0.79
0.12	0.77
0.14	0.7
0.06	0.74
