0.11	0.44
0.08	0.39
0.09	0.36
0.11	0.34
0.1	0.35
0.1	0.35
0.13	0.36
0.08	0.4
0.08	0.36
0.13	0.4
0.09	0.45
0.13	0.39
0.09	0.4
0.09	0.37
0.08	0.39
0.11	0.34
0.1	0.39
0.09	0.46
0.14	0.44
0.09	0.37
0.1	0.44
0.11	0.42
0.09	0.42
0.09	0.39
0.12	0.34
0.08	0.33
0.11	0.44
0.1	0.41
0.09	0.39
0.11	0.42
0.09	0.41
0.1	0.41
0.1	0.4
0.1	0.38
0.1	0.39
0.1	0.42
0.14	0.41
0.08	0.32
0.12	0.34
0.08	0.38
0.07	0.34
0.09	0.4
0.14	0.3
0.1	0.4
0.1	0.39
0.1	0.34
0.07	0.47
0.09	0.33
0.08	0.4
0.1	0.39
0.09	0.39
0.11	0.35
0.1	0.38
0.1	0.36
0.1	0.37
0.1	0.38
0.13	0.35
0.11	0.38
0.08	0.36
0.08	0.4
0.13	0.37
